ema_period,tsi_long_period,tsi_short_period,final_value,sharpe_ratio,max_drawdown,total_return_pct,total_trades,win_rate
10,20,5,1,,0.008659194247190635,0.0033574004570670482,2,100.0
10,20,8,1,,0.008659174688068224,0.0035832911750241737,2,100.0
10,20,10,1,,0.00865917993207048,0.003522727495900679,2,100.0
10,20,13,1,,0.008659114009900977,0.0042840740617079275,2,100.0
10,20,15,1,,0.008659101019216204,0.004434106416161474,2,100.0
10,25,5,1,,0.008659081584589895,0.00465856172810391,2,100.0
10,25,8,1,,0.00865909929266138,0.00445404680500687,2,100.0
10,25,10,1,,0.008659101884820133,0.004424109353772687,2,100.0
10,25,13,1,,0.008659083788650582,0.00463310646010456,2,100.0
10,25,15,1,,0.008659061761479753,0.004887504254935903,2,100.0
10,30,5,1,,0.008659064658087813,0.004854050502657371,2,100.0
10,30,8,1,,0.008659064348967129,0.004857620625041824,2,100.0
10,30,10,1,,0.00865905746379101,0.004937139508145281,2,100.0
10,30,13,1,,0.008659060764816064,0.004899015010635667,2,100.0
10,30,15,1,,0.00865906421164398,0.004859206609046554,2,100.0
10,35,5,1,,0.008659063482709945,0.004867625275393914,2,100.0
10,35,8,1,,0.008659060003196955,0.004907811169746922,2,100.0
10,35,10,1,,0.008659059396022867,0.004914823599230717,2,100.0
10,35,13,1,,0.008658991539511118,0.005698521215039128,2,100.0
10,35,15,1,,0.007464009723277659,0.00683798572041967,3,100.0
10,40,5,1,,0.008659058729912562,0.004922516700742925,2,100.0
10,40,8,1,,0.008658993773387597,0.0056727213284887045,2,100.0
10,40,10,1,,0.008658993774166783,0.005672712329375944,2,100.0
10,40,13,1,,0.007464016815039091,0.006742968452960663,3,100.0
10,40,15,1,,0.007326107946383118,0.006636643262540841,3,100.0
15,20,5,1,,0.008659194247190635,0.0033574004570670482,2,100.0
15,20,8,1,,0.008659174688068224,0.0035832911750241737,2,100.0
15,20,10,1,,0.00865917993207048,0.003522727495900679,2,100.0
15,20,13,1,,0.008659114009900977,0.0042840740617079275,2,100.0
15,20,15,1,,0.008659101019216204,0.004434106416161474,2,100.0
15,25,5,1,,0.008659081584589895,0.00465856172810391,2,100.0
15,25,8,1,,0.00865909929266138,0.00445404680500687,2,100.0
15,25,10,1,,0.008659101884820133,0.004424109353772687,2,100.0
15,25,13,1,,0.008659083788650582,0.00463310646010456,2,100.0
15,25,15,1,,0.008659061761479753,0.004887504254935903,2,100.0
15,30,5,1,,0.008659064658087813,0.004854050502657371,2,100.0
15,30,8,1,,0.008659064348967129,0.004857620625041824,2,100.0
15,30,10,1,,0.00865905746379101,0.004937139508145281,2,100.0
15,30,13,1,,0.008659060764816064,0.004899015010635667,2,100.0
15,30,15,1,,0.00865906421164398,0.004859206609046554,2,100.0
15,35,5,1,,0.008659066947078959,0.004827614299240216,2,100.0
15,35,8,1,,0.008659060003196955,0.004907811169746922,2,100.0
15,35,10,1,,0.008659059396022867,0.004914823599230717,2,100.0
15,35,13,1,,0.008658991539511118,0.005698521215039128,2,100.0
15,35,15,1,,0.007463997038436443,0.007007940753256286,3,100.0
15,40,5,1,,0.008659058729912562,0.004922516700742925,2,100.0
15,40,8,1,,0.008658993773387597,0.0056727213284887045,2,100.0
15,40,10,1,,0.008658993774166783,0.005672712329375944,2,100.0
15,40,13,1,,0.007464016815039091,0.006742968452960663,3,100.0
15,40,15,1,,0.007326107946383118,0.006636643262540841,3,100.0
20,20,5,1,,0.008659194247190635,0.0033574004570670482,2,100.0
20,20,8,1,,0.008659174688068224,0.0035832911750241737,2,100.0
20,20,10,1,,0.00865917993207048,0.003522727495900679,2,100.0
20,20,13,1,,0.008659114009900977,0.0042840740617079275,2,100.0
20,20,15,1,,0.008659101019216204,0.004434106416161474,2,100.0
20,25,5,1,,0.008659081584589895,0.00465856172810391,2,100.0
20,25,8,1,,0.00865909929266138,0.00445404680500687,2,100.0
20,25,10,1,,0.008659101884820133,0.004424109353772687,2,100.0
20,25,13,1,,0.008659083788650582,0.00463310646010456,2,100.0
20,25,15,1,,0.008659061761479753,0.004887504254935903,2,100.0
20,30,5,1,,0.008659064658087813,0.004854050502657371,2,100.0
20,30,8,1,,0.008659064348967129,0.004857620625041824,2,100.0
20,30,10,1,,0.00865905746379101,0.004937139508145281,2,100.0
20,30,13,1,,0.008659060764816064,0.004899015010635667,2,100.0
20,30,15,1,,0.00865906421164398,0.004859206609046554,2,100.0
20,35,5,1,,0.008659066947078959,0.004827614299240216,2,100.0
20,35,8,1,,0.008659060003196955,0.004907811169746922,2,100.0
20,35,10,1,,0.008659059396022867,0.004914823599230717,2,100.0
20,35,13,1,,0.008658991539511118,0.005698521215039128,2,100.0
20,35,15,1,,0.007463997038436443,0.007007940753256286,3,100.0
20,40,5,1,,0.008659058729912562,0.004922516700742925,2,100.0
20,40,8,1,,0.008658993773387597,0.0056727213284887045,2,100.0
20,40,10,1,,0.008658993774166783,0.005672712329375944,2,100.0
20,40,13,1,,0.007464016815039091,0.006742968452960663,3,100.0
20,40,15,1,,0.007326107946383118,0.006636643262540841,3,100.0
25,20,5,1,,0.008659180389711389,0.0035174421419472226,2,100.0
25,20,8,1,,0.008659182045381275,0.0034983205989742505,2,100.0
25,20,10,1,,0.00865917993207048,0.003522727495900679,2,100.0
25,20,13,1,,0.008659114009900977,0.0042840740617079275,2,100.0
25,20,15,1,,0.008659101019216204,0.004434106416161474,2,100.0
25,25,5,1,,0.008659081584589895,0.00465856172810391,2,100.0
25,25,8,1,,0.00865909929266138,0.00445404680500687,2,100.0
25,25,10,1,,0.008659101884820133,0.004424109353772687,2,100.0
25,25,13,1,,0.008659083788650582,0.00463310646010456,2,100.0
25,25,15,1,,0.008659061761479753,0.004887504254935903,2,100.0
25,30,5,1,,0.008659064658087813,0.004854050502657371,2,100.0
25,30,8,1,,0.008659064348967129,0.004857620625041824,2,100.0
25,30,10,1,,0.00865905746379101,0.004937139508145281,2,100.0
25,30,13,1,,0.008659060764816064,0.004899015010635667,2,100.0
25,30,15,1,,0.00865906421164398,0.004859206609046554,2,100.0
25,35,5,1,,0.008659063482709945,0.004867625275393914,2,100.0
25,35,8,1,,0.008659060003196955,0.004907811169746922,2,100.0
25,35,10,1,,0.008659059396022867,0.004914823599230717,2,100.0
25,35,13,1,,0.008658991539511118,0.005698521215039128,2,100.0
25,35,15,1,,0.007463997038436443,0.007007940753256286,3,100.0
25,40,5,1,,0.008659058729912562,0.004922516700742925,2,100.0
25,40,8,1,,0.008658993773387597,0.0056727213284887045,2,100.0
25,40,10,1,,0.008658993774166783,0.005672712329375944,2,100.0
25,40,13,1,,0.007464016815039091,0.006742968452960663,3,100.0
25,40,15,1,,0.007326107946383118,0.006636643262540841,3,100.0
30,20,5,1,,0.008659183782755724,0.003478255443517385,2,100.0
30,20,8,1,,0.008659182907884519,0.0034883594402934795,2,100.0
30,20,10,1,,0.008659185125317536,0.0034627500314519644,2,100.0
30,20,13,1,,0.008659114009900977,0.0042840740617079275,2,100.0
30,20,15,1,,0.008659101019216204,0.004434106416161474,2,100.0
30,25,5,1,,0.008659081584589895,0.00465856172810391,2,100.0
30,25,8,1,,0.00865909929266138,0.00445404680500687,2,100.0
30,25,10,1,,0.008659101884820133,0.004424109353772687,2,100.0
30,25,13,1,,0.008659083788650582,0.00463310646010456,2,100.0
30,25,15,1,,0.008659061761479753,0.004887504254935903,2,100.0
30,30,5,1,,0.008659064658087813,0.004854050502657371,2,100.0
30,30,8,1,,0.008659064348967129,0.004857620625041824,2,100.0
30,30,10,1,,0.00865905746379101,0.004937139508145281,2,100.0
30,30,13,1,,0.008659060764816064,0.004899015010635667,2,100.0
30,30,15,1,,0.00865906421164398,0.004859206609046554,2,100.0
30,35,5,1,,0.008659063482709945,0.004867625275393914,2,100.0
30,35,8,1,,0.008659060003196955,0.004907811169746922,2,100.0
30,35,10,1,,0.008659059396022867,0.004914823599230717,2,100.0
30,35,13,1,,0.008658991539511118,0.005698521215039128,2,100.0
30,35,15,1,,0.007463997038436443,0.007007940753256286,3,100.0
30,40,5,1,,0.008659058729912562,0.004922516700742925,2,100.0
30,40,8,1,,0.008658993773387597,0.0056727213284887045,2,100.0
30,40,10,1,,0.008658993774166783,0.005672712329375944,2,100.0
30,40,13,1,,0.007464016815039091,0.006742968452960663,3,100.0
30,40,15,1,,0.007326107946383118,0.006636643262540841,3,100.0
